Club,School Details,Count,Count.1
Bentleigh Lakers Basketball Club,"Mentone Grammar School, Mentone VIC 3194",41,4
Brighton Wolves Basketball Club,"St Louis de Montfort's School, Aspendale VIC 3195",1,1
Ormond Jets Basketball Club,"Glen Eira College, Caulfield East VIC 3145",74,7
Ormond Jets Basketball Club,"Caulfield Junior College, Caulfield North VIC 3161",41,17
Independent,"Brighton Secondary College, Brighton East VIC 3187",85,17
Bentleigh Lakers Basketball Club,"Kilvington Grammar School, Ormond VIC 3204",115,37
South East Warriors Basketball Club,"Elwood Primary School, Elwood VIC 3184",14,2
Independent,"Cheltenham Secondary College, Cheltenham VIC 3192",33,7
Ormond Jets Basketball Club,"Valkstone Primary School, Bentleigh East VIC 3165",139,23
Carnegie Basketball Club,"McKinnon Secondary College - East Campus, Bentleigh East VIC 3165",260,9
Saints Basketball Club (McKinnon),"Gardenvale Primary School, Brighton East VIC 3187",187,2
Brighton Wolves Basketball Club,"Brighton Primary School-Brighton Primary School Deaf Facility, Brighton VIC 3186",6,5
Brighton Wolves Basketball Club,"St Michael's Grammar School, St Kilda VIC 3182",33,13
Maccabi Victoria Basketball Club,"Yeshivah College, St Kilda East VIC 3183",4,4
Ormond Jets Basketball Club,"Our Lady of the Sacred Heart College, Bentleigh VIC 3204",66,12
Brighton Wolves Basketball Club,"St Bede's College - Bentleigh East Campus, Bentleigh East VIC 3165",72,9
Saints Basketball Club (McKinnon),"St Finbar's School, Brighton East VIC 3187",159,3
St Kilda Warriors Basketball Club,"South Yarra Primary School, South Yarra VIC 3141",1,1
Independent,"McKinnon Secondary College - East Campus, Bentleigh East VIC 3165",260,16
South East Warriors Basketball Club,"Tucker Road Bentleigh Primary School, Bentleigh VIC 3204",105,91
Oakleigh Raptors Basketball Club,"Oakleigh Primary School, Oakleigh VIC 3166",18,17
Oakleigh Raptors Basketball Club,"Mordialloc College, Mordialloc VIC 3195",4,2
Moorabbin Magic Basketball Club,"Southmoor Primary School, Moorabbin VIC 3189",55,29
Saints Basketball Club (McKinnon),"Sacre Coeur, Glen Iris VIC 3146",9,3
Saints Basketball Club (McKinnon),"Xavier College, Kew VIC 3101",4,1
Brighton Wolves Basketball Club,"Not Applicable,   ",22,10
ABA Wolverines Basketball Club,"East Bentleigh Primary School, Bentleigh East VIC 3165",19,4
Saints Basketball Club (McKinnon),"Firbank Grammar School, Brighton VIC 3186",32,1
Ormond Jets Basketball Club,"Elsternwick Primary School, Brighton VIC 3186",59,13
Bentleigh Lakers Basketball Club,"St Bede's College, Mentone VIC 3194",36,11
Carnegie Basketball Club,"Prahran High School, Windsor VIC 3181",6,4
East Brighton Vampires Basketball Club,"Brighton Secondary College, Brighton East VIC 3187",85,3
Bentleigh Lakers Basketball Club,"Haileybury College - Brighton Girls, Brighton VIC 3186",51,7
Brighton Wolves Basketball Club,"St James' School, Brighton VIC 3186",20,11
Moorabbin Magic Basketball Club,"Derinya Primary School, Frankston South VIC 3199",1,1
Bentleigh Lakers Basketball Club,"Sacred Heart School, Sandringham VIC 3191",6,3
Brighton Wolves Basketball Club,"Sacred Heart School, Sandringham VIC 3191",6,2
Bayside Warriors Basketball Club Inc,N/A,2176,10
Oakleigh Raptors Basketball Club,"Bentleigh Secondary College, Bentleigh East VIC 3165",160,15
ABA Wolverines Basketball Club,"St Peter's School, Bentleigh East VIC 3165",167,1
Brighton Wolves Basketball Club,"Brighton Beach Primary School, Brighton VIC 3186",49,42
South East Warriors Basketball Club,"St Kevin's College - Glendalough, Toorak VIC 3142",14,1
Bentleigh Lakers Basketball Club,"Parkdale Secondary College, Mordialloc VIC 3195",6,2
Brighton Wolves Basketball Club,"Firbank Grammar School, Brighton VIC 3186",32,22
Bentleigh Lakers Basketball Club,"Sandringham College, Sandringham VIC 3191",15,6
Bentleigh Lakers Basketball Club,"Sandringham Primary School, Sandringham VIC 3191",3,1
Saints Basketball Club (McKinnon),"St Patrick's School, Mentone VIC 3194",10,5
Saints Basketball Club (McKinnon),"St Bede's College, Mentone VIC 3194",36,5
South East Warriors Basketball Club,"Valkstone Primary School, Bentleigh East VIC 3165",139,18
South East Warriors Basketball Club,"Bentleigh Secondary College, Bentleigh East VIC 3165",160,53
Moorabbin Magic Basketball Club,"Kilbreda College, Mentone VIC 3194",12,4
Ormond Jets Basketball Club,"Bentleigh West Primary School, Bentleigh VIC 3204",155,36
East Brighton Vampires Basketball Club,"Star of the Sea College, Brighton VIC 3186",96,12
Bentleigh Lakers Basketball Club,"St Patrick's School, Murrumbeena VIC 3163",49,6
Maccabi Victoria Basketball Club,"Bialik College, Hawthorn VIC 3122",76,30
South East Warriors Basketball Club,"St Joan of Arc School, Brighton VIC 3186",123,5
South East Warriors Basketball Club,"McKinnon Secondary College - East Campus, Bentleigh East VIC 3165",260,17
Brighton Wolves Basketball Club,"Mckinnon Primary School, Ormond VIC 3204",105,2
Independent,"St Kevin's College, Toorak VIC 3142",42,3
South East Warriors Basketball Club,"Parkdale Secondary College, Mordialloc VIC 3195",6,1
Ormond Jets Basketball Club,"The King David School - The Rebecca Magid Centre, Armadale VIC 3143",26,13
Independent,"St Patrick's School, Murrumbeena VIC 3163",49,10
Moorabbin Magic Basketball Club,"McKinnon Secondary College - East Campus, Bentleigh East VIC 3165",260,16
Bentleigh Lakers Basketball Club,"De La Salle College - Holy Eucharist Campus, Malvern East VIC 3145",35,9
Bentleigh Lakers Basketball Club,"The King David School - Junior School, Armadale VIC 3143",12,1
Maccabi Victoria Basketball Club,N/A,2176,3
St Kilda Warriors Basketball Club,"St Kilda Park Primary School, St Kilda VIC 3182",6,4
St Kilda Warriors Basketball Club,"Albert Park College, Albert Park VIC 3206",9,2
Ormond Jets Basketball Club,"Port Melbourne Secondary College, Port Melbourne VIC 3207",1,1
Bentleigh Lakers Basketball Club,"Tucker Road Bentleigh Primary School, Bentleigh VIC 3204",105,5
Ormond Jets Basketball Club,"The King David School, Armadale VIC 3143",17,12
Bentleigh Lakers Basketball Club,"Bialik College, Hawthorn VIC 3122",76,2
Moorabbin Magic Basketball Club,"Oakleigh Grammar, Oakleigh VIC 3166",29,1
Ormond Jets Basketball Club,"Coatesville Primary School, Bentleigh East VIC 3165",189,12
Brighton Wolves Basketball Club,"Haileybury College - Keysborough Boys, Keysborough VIC 3173",23,16
Bentleigh Lakers Basketball Club,"Valkstone Primary School, Bentleigh East VIC 3165",139,73
Ormond Jets Basketball Club,"St Leonard's College, Brighton East VIC 3187",98,12
Independent,"Salesian College Chadstone, Chadstone VIC 3148",63,1
Carnegie Basketball Club,"Salesian College Chadstone, Chadstone VIC 3148",63,13
ABA Wolverines Basketball Club,"Bentleigh West Primary School, Bentleigh VIC 3204",155,8
Maccabi Victoria Basketball Club,"The King David School - Junior School, Armadale VIC 3143",12,2
East Brighton Vampires Basketball Club,"Mckinnon Primary School, Ormond VIC 3204",105,2
Carnegie Basketball Club,"Caulfield Junior College, Caulfield North VIC 3161",41,4
East Brighton Vampires Basketball Club,"Brighton Primary School, Brighton VIC 3186",101,3
Bayside Warriors Basketball Club Inc,"St Kilda Park Primary School, St Kilda VIC 3182",6,1
Ormond Jets Basketball Club,"De La Salle College, Malvern VIC 3144",54,7
Brighton Wolves Basketball Club,"Mentone Grammar School, Mentone VIC 3194",41,4
Independent,"Our Lady of the Sacred Heart College, Bentleigh VIC 3204",66,2
